Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
2017-12-20,158.25,158.28,156.91,157.53,38972602.0,152.96540000000002,148.7026,-0.0010785776511150035,0.10711922495040846,0.024900000000000002
2017-12-21,157.75,158.25,157.37,157.55,18638679.0,153.15560000000002,148.8425,0.0001269518854059593,0.10711206066794252,0.0248
2017-12-22,157.31,157.43,156.95,157.37,23330440.0,153.3476,148.9767,-0.0011431475905106462,0.10664662265803443,0.0248
2017-12-26,156.49,156.72,155.95,156.52,21918720.0,153.5112,149.108,-0.005415923270561249,0.10858245794066837,0.024700000000000003
2017-12-27,156.53,156.96,156.39,156.54,22388186.0,153.665,149.2369,0.00012777103448018354,0.10819652105487353,0.0242
2017-12-28,157.04,157.07,156.54,156.73,25393825.0,153.8188,149.3586,0.0012130112892846006,0.08600490754577338,0.024300000000000002
2017-12-29,156.87,156.9,155.7,155.76,33185962.0,153.95680000000002,149.47310000000002,-0.0062082186020324965,0.08485133582811019,0.024
2018-01-02,156.56,158.53,156.17,158.49,32573272.0,154.1604,149.6168,0.01737513878038993,0.10266298667633439,0.0246
2018-01-03,158.64,160.17,158.61,160.03,29383557.0,154.3868,149.8068,0.009669797813564633,0.09475348197681174,0.024399999999999998
2018-01-04,160.58,160.79,160.08,160.31,24776125.0,154.6382,149.9889,0.0017481430436834117,0.09457468733198653,0.0246
2018-01-05,161.07,162.03,160.77,161.92,26992340.0,154.9168,150.1688,0.009992945397518486,0.09813715357804281,0.024700000000000003
2018-01-08,161.92,162.63,161.86,162.55,23159061.0,155.2192,150.35399999999998,0.003883260650813706,0.09820150029498298,0.024900000000000002
2018-01-09,162.87,163.04,162.07,162.56,24782448.0,155.5312,150.53679999999997,6.15176402027626e-05,0.09840847120154023,0.0255
2018-01-10,161.84,162.21,161.12,162.18,34004028.0,155.75,150.7453,-0.002340334873705856,0.09777269650930737,0.0255
2018-01-11,162.48,163.3,162.21,163.29,20473518.0,155.9842,150.9659,0.006820931597807116,0.09838873650469036,0.0254
2018-01-12,163.15,164.66,162.94,164.49,37762708.0,156.231,151.2003,0.0073220169698485615,0.09990885593835167,0.0255
2018-01-16,165.58,166.42,163.53,164.02,41231849.0,156.46939999999998,151.4085,-0.0028614064758016662,0.10115537969816227,0.0254
2018-01-17,164.8,166.04,164.0,165.79,33849879.0,156.749,151.6395,0.010733555643108633,0.10053369079276823,0.025699999999999997
2018-01-18,165.53,166.2,165.14,165.82,26432166.0,157.0,151.875,0.0001809354366987233,0.09984540160024961,0.0262
2018-01-19,166.31,166.61,165.54,166.34,38937588.0,157.251,152.1187,0.003131023752468975,0.09509651269288083,0.0264
2018-01-22,166.28,168.12,166.09,168.12,26081388.0,157.5358,152.3758,0.010644123696374394,0.09803134607328244,0.026600000000000002
2018-01-23,168.64,169.66,168.56,169.51,37989650.0,157.83599999999998,152.6412,0.008233911993478836,0.09882297246873586,0.0263
2018-01-24,169.87,170.24,167.44,168.41,54287377.0,158.1304,152.8788,-0.00651043966243201,0.10398357484522616,0.0265
2018-01-25,169.57,169.63,167.81,168.35,28924956.0,158.4238,153.1003,-0.0003563368608794882,0.09976603840671143,0.0263
2018-01-26,169.29,170.95,168.96,170.93,32038184.0,158.765,153.34959999999998,0.015208970361093357,0.10683046966879801,0.026600000000000002
2018-01-29,170.57,170.91,169.74,170.1,37277849.0,159.10080000000002,153.6037,-0.004867616566360753,0.11132030077970717,0.027000000000000003
2018-01-30,168.55,169.42,167.82,168.7,44987688.0,159.423,153.8394,-0.008264509849893536,0.11404990195020771,0.0273
2018-01-31,169.65,169.99,168.34,169.4,42449199.0,159.7202,154.0787,0.004140792666031608,0.10254451077198329,0.027200000000000002
2018-02-01,168.1,169.73,167.42,167.96,38037875.0,160.00039999999998,154.3162,-0.008536926401961504,0.10784034517640335,0.0278
2018-02-02,167.34,167.7,164.47,164.61,68478082.0,160.21599999999998,154.5036,-0.020146816076998832,0.13438387082481104,0.028399999999999998
2018-02-05,163.07,165.75,158.0,158.12,105372224.0,160.2684,154.6226,-0.04022480131050899,0.19566670413460888,0.0277
2018-02-06,155.81,162.51,155.1,162.31,118537891.0,160.4008,154.7815,0.026153848488494325,0.21801450958145996,0.0279
2018-02-07,161.79,163.55,160.2,160.21,91028328.0,160.47979999999998,154.928,-0.013022632258356256,0.22280123602648735,0.028399999999999998
2018-02-08,160.62,160.8,153.45,153.45,94184831.0,160.425,155.0019,-0.04311067359287789,0.26893864704948756,0.0285
2018-02-09,155.66,157.24,150.125,156.1,113836554.0,160.4152,155.10739999999998,0.017122046455641332,0.27619706539891303,0.028300000000000002
